ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,E_total
0,1e-07,1.51119,2800,280000,0,0,5.21226e-17,1.82597e-13,5.85734e-12,6.03993e-12
1,2e-07,1.83933,5600,560000,-9.45348e-27,8.79585e-27,1.04341e-16,3.65865e-13,5.8563e-12,6.22216e-12
2,3e-07,2.17277,8400,840000,-1.04191e-25,3.06473e-26,1.56654e-16,5.49798e-13,5.85474e-12,6.40454e-12
3,4e-07,2.52598,11200,1.12e+06,-4.94143e-25,8.48537e-26,2.0906e-16,7.34393e-13,5.85266e-12,6.58705e-12
4,5e-07,2.89901,14000,1.4e+06,-1.56675e-24,1.88568e-25,2.6156e-16,9.19643e-13,5.85007e-12,6.76971e-12
5,6e-07,3.29255,16800,1.68e+06,-3.77799e-24,3.30166e-25,3.14152e-16,1.10554e-12,5.84696e-12,6.9525e-12
6,7e-07,3.68815,19600,1.96e+06,-7.70159e-24,3.50198e-25,3.66834e-16,1.29208e-12,5.84335e-12,7.13544e-12
7,8e-07,4.10421,22400,2.24e+06,-1.35729e-23,1.35596e-25,4.19606e-16,1.47926e-12,5.83925e-12,7.3185e-12
8,9e-07,4.55762,25200,2.52e+06,-2.18728e-23,-6.59331e-25,4.72466e-16,1.66706e-12,5.83465e-12,7.50171e-12
9,1e-06,4.98979,28000,2.8e+06,-3.30709e-23,-2.29068e-24,5.25412e-16,1.85547e-12,5.82957e-12,7.68505e-12
10,1.1e-06,5.43543,30800,3.08e+06,-4.8665e-23,-4.7209e-24,5.78444e-16,2.0445e-12,5.82402e-12,7.86852e-12
11,1.2e-06,5.88736,33600,3.36e+06,-6.9686e-23,-8.17728e-24,6.3156e-16,2.23412e-12,5.81801e-12,8.05213e-12
12,1.3e-06,6.36737,36400,3.64e+06,-9.61638e-23,-1.16794e-23,6.84759e-16,2.42434e-12,5.81155e-12,8.23589e-12
13,1.4e-06,6.8282,39200,3.92e+06,-1.29851e-22,-1.47912e-23,7.38039e-16,2.61514e-12,5.80465e-12,8.41979e-12
14,1.5e-06,7.30809,42000,4.2e+06,-1.72219e-22,-1.77958e-23,7.91399e-16,2.80651e-12,5.79763e-12,8.60414e-12
15,1.6e-06,7.78319,44800,4.48e+06,-2.22464e-22,-2.22905e-23,8.44838e-16,2.99845e-12,5.79052e-12,8.78897e-12
16,1.7e-06,8.25551,47600,4.76e+06,-2.78107e-22,-2.76781e-23,8.98355e-16,3.19096e-12,5.78332e-12,8.97428e-12
17,1.8e-06,8.75604,50400,5.04e+06,-3.36047e-22,-3.60956e-23,9.51951e-16,3.38403e-12,5.77604e-12,9.16007e-12
18,1.9e-06,9.27092,53200,5.32e+06,-3.96895e-22,-4.96437e-23,1.00562e-15,3.57765e-12,5.76868e-12,9.34633e-12
19,2e-06,9.81159,56000,5.6e+06,-4.59836e-22,-6.79072e-23,1.05937e-15,3.77182e-12,5.76123e-12,9.53305e-12
20,2.1e-06,10.3123,58800,5.88e+06,-5.27876e-22,-9.10682e-23,1.11319e-15,3.96654e-12,5.75369e-12,9.72023e-12
21,2.2e-06,10.879,61600,6.16e+06,-6.0549e-22,-1.21208e-22,1.16709e-15,4.1618e-12,5.74606e-12,9.90786e-12
22,2.3e-06,11.4217,64400,6.44e+06,-6.93036e-22,-1.59739e-22,1.22106e-15,4.3576e-12,5.73835e-12,1.00959e-11
23,2.4e-06,11.9622,67200,6.72e+06,-7.91968e-22,-2.07875e-22,1.27511e-15,4.55393e-12,5.73054e-12,1.02845e-11
24,2.5e-06,12.5175,70000,7e+06,-8.99797e-22,-2.69227e-22,1.32923e-15,4.75078e-12,5.72266e-12,1.04734e-11
25,2.6e-06,13.0497,72800,7.28e+06,-1.01791e-21,-3.45619e-22,1.38342e-15,4.94817e-12,5.71469e-12,1.06629e-11
26,2.7e-06,13.6006,75600,7.56e+06,-1.1524e-21,-4.37934e-22,1.43768e-15,5.14607e-12,5.70665e-12,1.08527e-11
27,2.8e-06,14.1242,78400,7.84e+06,-1.30223e-21,-5.47582e-22,1.49201e-15,5.34448e-12,5.69853e-12,1.1043e-11
28,2.9e-06,14.6873,81200,8.12e+06,-1.47067e-21,-6.74055e-22,1.54641e-15,5.54341e-12,5.69019e-12,1.12336e-11
29,3e-06,15.2466,84000,8.4e+06,-1.65559e-21,-8.17332e-22,1.60088e-15,5.74284e-12,5.68165e-12,1.14245e-11
30,3.1e-06,15.8244,86800,8.68e+06,-1.85892e-21,-9.75857e-22,1.65541e-15,5.94277e-12,5.6729e-12,1.16157e-11
31,3.2e-06,16.4036,89600,8.96e+06,-2.07809e-21,-1.14929e-21,1.71002e-15,6.1432e-12,5.66395e-12,1.18071e-11
32,3.3e-06,16.9457,92400,9.24e+06,-2.30724e-21,-1.3347e-21,1.76469e-15,6.34412e-12,5.65479e-12,1.19989e-11
33,3.4e-06,17.5034,95200,9.52e+06,-2.54891e-21,-1.53195e-21,1.81943e-15,6.54552e-12,5.64544e-12,1.2191e-11
34,3.5e-06,18.0561,98000,9.8e+06,-2.79844e-21,-1.73817e-21,1.87423e-15,6.74741e-12,5.6359e-12,1.23833e-11
35,3.6e-06,18.6715,100800,1.008e+07,-3.05416e-21,-1.94943e-21,1.92909e-15,6.94977e-12,5.62617e-12,1.25759e-11
36,3.7e-06,19.2221,103600,1.036e+07,-3.32208e-21,-2.16534e-21,1.98402e-15,7.1526e-12,5.61625e-12,1.27688e-11
37,3.8e-06,19.7782,106400,1.064e+07,-3.6046e-21,-2.38482e-21,2.03901e-15,7.35589e-12,5.60615e-12,1.2962e-11
